Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
loss,Tom Aaron,Matt Ricehouse,0,0,0,0,0,0,0,0,Strikeforce - Henderson vs. Babalu,Dec. 04  2010,U-DEC,,3,05:00,
win,Tom Aaron,Eric Steenberg,0,0,0,0,0,0,0,0,Strikeforce - Heavy Artillery,May. 15  2010,SUB,Guillotine Choke,1,00:56,
loss,Danny Abbadi,Jorge Gurgel,56,58,0,1,0,1,0,0,UFC 63: Hughes vs Penn,Sep. 23  2006,S-DEC,,3,05:00,
loss,Danny Abbadi,Kalib Starnes,3,21,0,1,0,1,0,3,The Ultimate Fighter 3 Finale,Jun. 24  2006,SUB,Rear Naked Choke,1,02:56,
loss,David Abbott,Kevin Ferguson,1,13,0,0,0,0,0,0,EliteXC - Street Certified,Feb. 16  2008,KO/TKO,Punches,1,00:43,
loss,David Abbott,Paul Buentello,4,9,0,0,0,0,0,0,Strikeforce - Tank vs. Buentello,Oct. 07  2006,KO/TKO,Punch,1,00:43,
loss,David Abbott,Hidehiko Yoshida,2,14,1,0,0,1,1,0,PRIDE Final Conflict 2005,Aug. 28  2005,SUB,Gi Choke,1,07:40,
loss,David Abbott,Wesley Correira,11,13,0,0,0,0,0,0,UFC 45: Revolution,Nov. 21  2003,KO/TKO,,1,02:14,
loss,David Abbott,Kimo Leopoldo,0,1,0,1,0,1,0,2,UFC 43: Meltdown,Jun. 06  2003,SUB,Arm Triangle,1,01:59,
loss,David Abbott,Frank Mir,1,0,0,0,0,2,0,0,UFC 41: Onslaught,Feb. 28  2003,SUB,Toe Hold,1,00:46,
loss,David Abbott,Pedro Rizzo,16,24,1,0,0,0,0,0,UFC - Ultimate Brazil,Oct. 16  1998,KO/TKO,Punch,1,08:07,
win,David Abbott,Hugo Duarte,11,0,0,1,0,0,0,1,UFC 17: Redemption,May. 15  1998,KO/TKO,Punches,1,00:43,
win,David Abbott,Yoji Anjo,13,9,3,0,0,1,1,0,UFC - Ultimate Japan,Dec. 21  1997,U-DEC,,2,03:00,
loss,David Abbott,Maurice Smith,5,12,0,0,0,1,3,0,UFC 15: Collision Course,Oct. 17  1997,SUB,Other,1,08:08,
loss,David Abbott,Vitor Belfort,2,15,0,1,0,0,0,0,UFC 13: The Ultimate Force,May. 30  1997,KO/TKO,Punches,1,00:52,
win,David Abbott,Cal Worsham,4,5,0,0,1,0,1,0,UFC - Ultimate Ultimate '96,Dec. 07  1996,KO/TKO,Punches,1,02:51,
win,David Abbott,Steve Nelmark,9,2,1,0,0,0,1,0,UFC - Ultimate Ultimate '96,Dec. 07  1996,KO/TKO,Punch,1,01:03,
loss,David Abbott,Don Frye,13,6,0,0,0,2,0,1,UFC - Ultimate Ultimate '96,Dec. 07  1996,SUB,Rear Naked Choke,1,01:22,
win,David Abbott,Sam Adkins,8,0,1,0,1,0,1,0,UFC 11: The Proving Ground,Sep. 20  1996,SUB,Forearm Choke,1,02:06,
loss,David Abbott,Scott Ferrozzo,21,60,0,0,0,0,0,0,UFC 11: The Proving Ground,Sep. 20  1996,U-DEC,,2,03:00,
win,David Abbott,Steve Jennum,1,0,1,0,1,0,1,0,UFC - Ultimate Ultimate '95,Dec. 16  1995,SUB,Neck Crank,1,01:14,
loss,David Abbott,Dan Severn,3,57,0,1,0,0,0,0,UFC - Ultimate Ultimate '95,Dec. 16  1995,U-DEC,,1,18:00,
win,David Abbott,John Matua,7,0,0,0,0,0,0,0,UFC 6: Clash of the Titans,Jul. 14  1995,KO/TKO,Punches,1,00:20,
win,David Abbott,Paul Varelans,14,1,1,0,0,0,1,0,UFC 6: Clash of the Titans,Jul. 14  1995,KO/TKO,Punches,1,01:53,
loss,David Abbott,Oleg Taktarov,17,4,2,0,1,4,1,1,UFC 6: Clash of the Titans,Jul. 14  1995,SUB,Rear Naked Choke,1,17:45,
win,Shamil Abdurakhimov,Marcin Tybura,36,28,0,0,0,0,0,0,UFC Fight Night: Overeem vs. Oleinik,Apr. 20  2019,KO/TKO,Punches,2,03:15,
win,Shamil Abdurakhimov,Andrei Arlovski,32,18,2,2,0,0,0,0,UFC Fight Night: Hunt vs. Oleinik,Sep. 15  2018,U-DEC,,3,05:00,
win,Shamil Abdurakhimov,Chase Sherman,6,5,0,0,0,0,0,0,UFC Fight Night: Bisping vs. Gastelum,Nov. 25  2017,KO/TKO,Punches,1,01:24,
loss,Shamil Abdurakhimov,Derrick Lewis,15,39,4,1,1,0,3,1,UFC Fight Night: Lewis vs. Abdurakhimov,Dec. 09  2016,KO/TKO,Punches,4,03:42,
win,Shamil Abdurakhimov,Walt Harris,47,33,1,0,0,1,1,0,UFC Fight Night: Lineker vs. Dodson,Oct. 01  2016,S-DEC,,3,05:00,
win,Shamil Abdurakhimov,Anthony Hamilton,62,40,0,0,0,0,0,0,UFC Fight Night: Cowboy vs Cowboy,Feb. 21  2016,U-DEC,,3,05:00,
loss,Shamil Abdurakhimov,Tim Johnson,9,22,0,1,0,0,0,2,UFC Fight Night: Mendes vs Lamas,Apr. 04  2015,KO/TKO,Punches,1,04:57,
draw,Hiroyuki Abe,Naoki Matsushita,22,33,0,1,0,0,0,1,PRIDE Bushido 12,Aug. 27  2006,Other,,2,05:00,
loss,Hiroyuki Abe,Luiz Firmino,0,7,0,1,0,1,0,2,PRIDE Bushido 4,Jul. 19  2004,SUB,Arm Triangle,1,02:52,
loss,Daichi Abe,Li Jingliang,45,96,0,0,0,0,0,0,UFC Fight Night: Cowboy vs. Edwards,Jun. 23  2018,U-DEC,,3,05:00,
loss,Daichi Abe,Luke Jumeau,63,63,0,1,0,0,0,0,UFC 221: Romero vs. Rockhold,Feb. 10  2018,U-DEC,,3,05:00,
win,Daichi Abe,Hyun Gyu Lim,63,43,1,0,0,0,1,0,UFC Fight Night: Saint Preux vs. Okami,Sep. 22  2017,U-DEC,,3,05:00,
loss,Papy Abedi,Dylan Andrews,19,20,3,2,3,0,4,1,UFC Fight Night: Condit vs Kampmann 2,Aug. 28  2013,KO/TKO,Punch,3,01:32,
win,Papy Abedi,Besam Yousef,53,43,4,2,0,0,2,0,UFC on FUEL TV 9: Mousasi vs Latifi,Apr. 06  2013,S-DEC,,3,05:00,
loss,Papy Abedi,James Head,11,21,1,0,0,1,1,2,UFC on FUEL TV: Gustafsson vs Silva,Apr. 14  2012,SUB,Rear Naked Choke,1,04:33,
loss,Papy Abedi,Thiago Alves,14,25,0,0,0,1,0,2,UFC 138: Leben vs Munoz,Nov. 05  2011,SUB,Rear Naked Choke,1,03:32,
loss,Ricardo Abreu,Jake Collier,47,67,3,0,0,0,1,0,UFC Fight Night: Boetsch vs Henderson,Jun. 06  2015,S-DEC,,3,05:00,
win,Ricardo Abreu,Wagner Silva,33,17,0,0,1,0,3,0,TUF Brazil Finale: Miocic vs Maldonado,May. 31  2014,SUB,Rear Naked Choke,2,01:06,
loss,Daniel Acacio,Rousimar Palhares,0,6,0,2,0,1,0,0,Fury FC 5: Final Conflict,Dec. 06  2007,SUB,Heel Hook,1,01:22,
loss,Daniel Acacio,Akihiro Gono,47,55,0,0,0,0,0,2,PRIDE Bushido 9: The Tournament,Sep. 25  2005,U-DEC,,2,05:00,
win,Daniel Acacio,Kazuo Misaki,66,58,1,0,0,0,0,0,PRIDE Bushido 8,Jul. 17  2005,U-DEC,,2,05:00,
win,Daniel Acacio,Daiju Takase,45,9,0,0,0,1,0,1,PRIDE Bushido 6,Apr. 03  2005,KO/TKO,,2,03:34,
win,Scott Adams,Ian Freeman,0,0,1,0,4,1,0,0,UFC 24: First Defense,Mar. 10  2000,SUB,Heel Hook,1,03:09,
loss,Juan Adams,Arjan Bhullar,81,41,0,2,0,0,0,2,UFC Fight Night: Iaquinta vs. Cowboy,May. 04  2019,U-DEC,,3,05:00,
win,Juan Adams,Chris de la Rocha,86,41,2,1,0,0,4,0,UFC Fight Night: Lee vs. Iaquinta,Dec. 15  2018,KO/TKO,Knee,3,00:58,
win,Israel Adesanya,Kelvin Gastelum,109,91,0,1,2,0,0,0,UFC 236: Holloway vs. Poirier 2,Apr. 13  2019,U-DEC,,5,05:00,
win,Israel Adesanya,Anderson Silva,65,31,0,0,0,0,0,0,UFC 234: Adesanya vs. Silva,Feb. 09  2019,U-DEC,,3,05:00,
win,Israel Adesanya,Derek Brunson,13,3,0,0,0,0,0,0,UFC 230: Cormier vs. Lewis,Nov. 03  2018,KO/TKO,Punches,1,04:51,
win,Israel Adesanya,Brad Tavares,119,40,0,1,1,0,2,1,UFC - TUF 27 Finale,Jul. 06  2018,U-DEC,,5,05:00,
win,Israel Adesanya,Marvin Vettori,57,46,0,2,0,0,0,1,UFC Fight Night: Poirier vs. Gaethje,Apr. 14  2018,S-DEC,,3,05:00,
win,Israel Adesanya,Rob Wilkinson,52,22,0,3,0,0,0,1,UFC 221: Romero vs. Rockhold,Feb. 10  2018,KO/TKO,Punches,2,03:37,
loss,Sam Adkins,David Abbott,0,8,0,1,0,1,0,1,UFC 11: The Proving Ground,Sep. 20  1996,SUB,Forearm Choke,1,02:06,
win,Sam Adkins,Felix Lee Mitchell,0,0,0,0,0,0,0,0,UFC 10: The Tournament,Jul. 12  1996,U-DEC,,2,03:00,
win,Sam Adkins,Keith Mielke,0,0,0,0,0,0,0,0,UFC 8: David vs Goliath,Feb. 16  1996,KO/TKO,Punches,1,00:50,
loss,Sam Adkins,Don Frye,0,5,0,1,0,0,0,1,UFC 8: David vs Goliath,Feb. 16  1996,KO/TKO,,1,00:48,
loss,Nick Agallar,Yves Edwards,5,33,0,0,0,0,0,0,UFC 45: Revolution,Nov. 21  2003,KO/TKO,Punch,2,02:14,
loss,Marcelo Aguiar,Matt Hughes,2,18,0,2,0,0,0,0,UFC 26: Ultimate Field Of Dreams,Jun. 09  2000,KO/TKO,,1,04:34,
loss,Edwin Aguilar,Martin Kampmann,0,0,0,0,0,0,0,0,WFA - King of the Streets,Jul. 22  2006,KO/TKO,,1,02:43,
loss,Jessica Aguilar,Marina Rodriguez,50,118,0,0,1,0,1,0,UFC Fight Night: Barboza vs. Gaethje,Mar. 30  2019,U-DEC,,3,05:00,
loss,Jessica Aguilar,Weili Zhang,9,45,0,1,0,2,0,2,UFC Fight Night: Blaydes vs. Ngannou 2,Nov. 24  2018,SUB,Armbar,1,03:41,
win,Jessica Aguilar,Jodie Esquibel,128,81,0,0,0,0,0,0,UFC Fight Night: Dos Santos vs. Ivanov,Jul. 14  2018,U-DEC,,3,05:00,
loss,Jessica Aguilar,Cortney Casey,57,103,4,0,0,0,1,0,UFC 211: Miocic vs. Dos Santos,May. 13  2017,U-DEC,,3,05:00,
loss,Jessica Aguilar,Claudia Gadelha,70,111,0,4,0,0,0,3,UFC 190: Rousey vs Correia,Aug. 01  2015,U-DEC,,3,05:00,
win,Kevin Aguilar,Enrique Barzola,58,52,0,0,0,0,0,0,UFC Fight Night: Barboza vs. Gaethje,Mar. 30  2019,U-DEC,,3,05:00,
win,Kevin Aguilar,Rick Glenn,86,74,0,0,0,0,2,0,UFC - TUF 28 Finale,Nov. 30  2018,U-DEC,,3,05:00,
nc,Mike Aina,Billy Evangelista,0,0,0,0,0,0,0,0,Strikeforce Challengers 1,May. 15  2009,Overturned,,2,03:42,
loss,Mike Aina,Nick Diaz,43,95,0,2,0,1,0,4,EliteXC - Uprising,Sep. 15  2007,S-DEC,,3,05:00,
loss,Hitomi Akano,Sara McMann,7,28,0,8,0,0,0,8,ProElite 3: Da Spyder vs. Minowaman,Jan. 21  2012,U-DEC,,3,05:00,
win,Hitomi Akano,Carina Damm,0,0,0,0,0,0,0,0,Strikeforce Challengers 10,Aug. 13  2010,SUB,Armbar,2,01:48,
loss,Hitomi Akano,Miesha Tate,6,10,0,2,1,0,0,3,Strikeforce Challengers 10,Aug. 13  2010,U-DEC,,3,03:00,
loss,Hitomi Akano,Cris Cyborg,5,41,0,1,0,0,0,1,Strikeforce - Shamrock vs. Diaz,Apr. 11  2009,KO/TKO,Punches,3,00:35,
win,Omari Akhmedov,Tim Boetsch,52,41,0,0,0,0,0,0,UFC Fight Night: Lewis vs. Dos Santos,Mar. 09  2019,U-DEC,,3,05:00,
draw,Omari Akhmedov,Marvin Vettori,51,66,0,0,0,2,0,1,UFC 219: Cyborg vs. Holm,Dec. 30  2017,M-DEC,,3,05:00,
win,Omari Akhmedov,Abdul Razak Alhassan,52,43,6,0,0,0,3,0,UFC Fight Night: Gustafsson vs. Teixeira,May. 28  2017,S-DEC,,3,05:00,
win,Omari Akhmedov,Kyle Noke,23,16,3,0,0,0,2,0,UFC Fight Night: Whittaker vs. Brunson,Nov. 26  2016,U-DEC,,3,05:00,
loss,Omari Akhmedov,Elizeu Zaleski dos Santos,36,72,3,0,1,1,1,2,UFC Fight Night: Teixeira vs Evans,Apr. 16  2016,KO/TKO,Knee,3,03:03,
loss,Omari Akhmedov,Sergio Moraes,35,21,1,0,0,0,0,0,UFC Fight Night: Namajunas vs. VanZant,Dec. 10  2015,KO/TKO,Punches,3,02:18,
win,Omari Akhmedov,Brian Ebersole,15,2,0,0,0,0,0,0,UFC Fight Night: Boetsch vs Henderson,Jun. 06  2015,KO/TKO,,1,05:00,
win,Omari Akhmedov,Mats Nilsson,64,33,5,5,0,3,0,1,UFC 182: Jones vs Cormier,Jan. 03  2015,U-DEC,,3,05:00,
loss,Omari Akhmedov,Gunnar Nelson,6,16,0,1,0,1,0,3,UFC Fight Night: Gustafsson vs Manuwa,Mar. 08  2014,SUB,Guillotine Choke,1,04:36,
win,Omari Akhmedov,Thiago Perpetuo,14,18,1,1,1,0,1,2,UFC Fight Night: Belfort vs Henderson,Nov. 09  2013,KO/TKO,,1,03:31,
loss,Yoshihiro Akiyama,Alberto Mina,78,69,0,2,0,0,1,0,UFC Fight Night: Henderson vs Masvidal,Nov. 28  2015,S-DEC,,3,05:00,
win,Yoshihiro Akiyama,Amir Sadollah,57,42,2,0,0,0,3,0,UFC Fight Night: Hunt vs Nelson,Sep. 20  2014,U-DEC,,3,05:00,
loss,Yoshihiro Akiyama,Jake Shields,33,91,2,2,0,0,0,1,UFC 144: Edgar vs Henderson,Feb. 25  2012,U-DEC,,3,05:00,
loss,Yoshihiro Akiyama,Vitor Belfort,1,12,0,0,0,0,0,0,UFC 133: Evans vs Ortiz 2,Aug. 06  2011,KO/TKO,Punches,1,01:52,
loss,Yoshihiro Akiyama,Michael Bisping,50,118,0,0,0,0,0,0,UFC 120: Bisping vs Akiyama,Oct. 16  2010,U-DEC,,3,05:00,
loss,Yoshihiro Akiyama,Chris Leben,27,46,5,0,1,4,4,0,UFC 116: Lesnar vs Carwin,Jul. 03  2010,SUB,Triangle Choke,3,04:40,
win,Yoshihiro Akiyama,Alan Belcher,55,76,3,0,0,0,2,0,UFC 100,Jul. 11  2009,S-DEC,,3,05:00,
win,Yoshihiro Akiyama,Masanori Tonooka,7,1,2,0,1,0,5,0,DREAM 6: Middleweight Grand Prix 2008 Final Round,Sep. 23  2008,SUB,Armbar,1,06:26,
win,Yoshihiro Akiyama,Katsuyori Shibata,8,10,1,0,1,0,2,0,DREAM 5: Lightweight Grand Prix 2008 Final Round,Jul. 21  2008,SUB,Gi Choke,1,06:34,
nc,Yoshihiro Akiyama,Kazuo Misaki,31,33,0,0,0,0,0,0,Yarrenoka! - New Year's Eve 2007,Dec. 31  2007,Overturned,,1,07:48,
win,Yoshihiro Akiyama,Denis Kang,7,13,0,0,0,0,0,0,K-1 Hero's Korea 2007,Oct. 28  2007,KO/TKO,Punch,1,04:45,
nc,Yoshihiro Akiyama,Kazushi Sakuraba,30,6,0,0,0,0,0,0,K-1 Dynamite!! 2006,Dec. 31  2006,Overturned,,1,05:37,
win,Yoshihiro Akiyama,Melvin Manhoef,2,7,0,0,2,0,1,0,K-1 Hero's 7,Oct. 09  2006,SUB,Armbar,1,01:58,
win,Yoshihiro Akiyama,Kestutis Smirnovas,11,3,0,0,0,0,0,0,K-1 Hero's 7,Oct. 09  2006,KO/TKO,Kick,1,03:01,
win,Yoshihiro Akiyama,Taiei Kin,3,5,1,0,1,0,1,0,K-1 Hero's 6,Aug. 05  2006,SUB,Armbar,1,02:01,
win,Yoshihiro Akiyama,Katsuhiko Nagata,11,1,0,0,0,0,0,0,K-1 Hero's 5,May. 03  2006,KO/TKO,Spinning Back Kick,1,02:25,
win,Yoshihiro Akiyama,Tokimitsu Ishizawa,19,5,1,0,1,0,1,0,K-1 Hero's 4,Mar. 15  2006,SUB,Gi Choke,2,01:41,
win,Yoshihiro Akiyama,Masakatsu Okuda,15,0,1,0,0,1,1,0,K-1 Hero's Seoul,Nov. 05  2005,KO/TKO,Punches,1,03:31,
win,Yoshihiro Akiyama,Michael Lerma,18,0,1,0,0,0,1,0,K-1 World MAX 2005 Champions Challenge,Oct. 12  2005,KO/TKO,Punches,1,02:47,
win,Yoshihiro Akiyama,Carl Toomey,0,0,1,0,1,0,1,0,K-1 Hero's 2,Jul. 06  2005,SUB,Armbar,1,00:59,
loss,Yoshihiro Akiyama,Jerome LeBanner,1,6,2,0,1,0,1,0,K-1 Hero's 1,Mar. 26  2005,KO/TKO,Knee,1,02:24,
win,Yoshihiro Akiyama,Francois Botha,2,0,1,0,1,0,3,0,K-1 Dynamite!! 2004,Dec. 31  2004,SUB,Armbar,1,01:54,
loss,Razak Al-Hassan,Kyle Kingsbury,31,25,1,2,0,0,1,3,UFC 104: Machida vs Shogun,Oct. 24  2009,S-DEC,,3,05:00,
loss,Razak Al-Hassan,Steve Cantwell,13,15,0,1,0,1,0,2,UFC Fight Night - Fight for the Troops,Dec. 10  2008,SUB,Armbar,1,04:04,
loss,Mostapha Al-Turk,Jon Madsen,20,32,0,1,0,0,0,0,UFC 112: Invincible,Apr. 10  2010,U-DEC,,3,05:00,
loss,Mostapha Al-Turk,Mirko Cro Cop,7,16,0,1,0,0,0,0,UFC 99: The Comeback,Jun. 13  2009,KO/TKO,Punches,1,03:06,
loss,Mostapha Al-Turk,Cheick Kongo,4,34,0,1,0,0,0,0,UFC 92: The Ultimate 2008,Dec. 27  2008,KO/TKO,Elbows,1,04:37,
loss,Javi Alanis,Adam Antolin,0,0,0,0,0,0,0,0,Strikeforce - Young Guns 3,Sep. 13  2008,KO/TKO,,2,01:41,
loss,Brett Albee,Virgil Zwicker,0,0,0,0,0,0,0,0,Strikeforce - Diaz vs. Daley,Apr. 09  2011,KO/TKO,,1,01:46,
loss,John Albert,Yaotzin Meza,4,4,0,1,3,4,1,2,UFC on Fox: Johnson vs Moraga,Jul. 27  2013,SUB,Rear Naked Choke,2,02:49,
loss,John Albert,Scott Jorgensen,5,12,0,0,1,1,1,2,UFC on Fox: Henderson vs Diaz,Dec. 08  2012,SUB,Rear Naked Choke,1,04:59,
loss,John Albert,Erik Perez,6,18,0,0,2,1,1,1,The Ultimate Fighter LIVE Finale,Jun. 01  2012,SUB,Armbar,1,04:18,
loss,John Albert,Ivan Menjivar,31,25,0,1,3,2,0,1,UFC on FUEL TV: Sanchez vs Ellenberger,Feb. 15  2012,SUB,Rear Naked Choke,1,03:45,
win,John Albert,Dustin Pague,21,3,0,0,0,0,1,0,The Ultimate Fighter 14 Finale: Team Bisping vs Team Miller,Dec. 03  2011,KO/TKO,Punches,1,01:09,
loss,Junior Albini,Jairzinho Rozenstruik,18,19,2,0,0,0,4,0,UFC Fight Night: Assuncao vs. Moraes 2,Feb. 02  2019,KO/TKO,Kick,2,00:54,
loss,Junior Albini,Aleksei Oleinik,10,10,1,0,0,1,1,0,UFC 224: Nunes vs. Pennington,May. 12  2018,SUB,Other - Choke,1,01:45,
loss,Junior Albini,Andrei Arlovski,48,92,0,0,0,0,0,0,UFC Fight Night: Poirier vs. Pettis,Nov. 11  2017,U-DEC,,3,05:00,
win,Junior Albini,Tim Johnson,21,19,0,0,0,0,0,0,UFC Fight Night: Weidman vs. Gastelum,Jul. 22  2017,KO/TKO,Punch,1,02:51,
loss,Wes Albritton,Tito Ortiz,0,21,0,1,0,0,0,1,UFC 13: The Ultimate Force,May. 30  1997,KO/TKO,Punches,1,00:31,
loss,Alexandra Albu,Emily Whitmire,2,3,0,1,0,1,0,2,UFC Fight Night: Ngannou vs. Velasquez,Feb. 17  2019,SUB,Rear Naked Choke,1,01:01,
win,Alexandra Albu,Kailin Curran,82,86,5,1,0,0,2,2,UFC 214: Cormier vs. Jones 2,Jul. 29  2017,U-DEC,,3,05:00,
win,Alexandra Albu,Izabela Badurek,42,32,0,1,1,0,0,0,UFC Fight Night: Gonzaga vs Cro Cop 2,Apr. 11  2015,SUB,Guillotine Choke,2,03:34,
loss,Israel Albuquerque,Anderson Silva,2,21,0,0,0,0,0,2,Meca 5,Jun. 09  2001,KO/TKO,Punches,1,06:17,
win,Juan Alcain,Mario Rivera,0,0,0,0,0,0,0,0,Strikeforce - Young Guns,Feb. 10  2007,U-DEC,,3,03:00,
loss,Iuri Alcantara,Cory Sandhagen,9,66,1,0,2,0,0,2,UFC Fight Night: Gaethje vs. Vick,Aug. 25  2018,KO/TKO,Punches,2,01:01,
win,Iuri Alcantara,Joe Soto,17,1,0,0,0,0,1,0,UFC Fight Night: Machida vs. Anders,Feb. 03  2018,KO/TKO,Punches,1,01:06,
loss,Iuri Alcantara,Alejandro Perez,38,35,0,0,0,0,0,0,UFC Fight Night: Swanson vs. Ortega,Dec. 09  2017,U-DEC,,3,05:00,
loss,Iuri Alcantara,Brian Kelleher,12,4,1,0,0,1,0,0,UFC 212: Aldo vs. Holloway,Jun. 03  2017,SUB,Guillotine Choke,1,01:48,
win,Iuri Alcantara,Luke Sanders,23,94,1,1,1,0,0,0,UFC 209: Woodley vs. Thompson 2,Mar. 04  2017,SUB,Kneebar,2,03:13,
win,Iuri Alcantara,Brad Pickett,26,1,0,0,2,0,2,0,UFC 204: Bisping vs. Henderson,Oct. 08  2016,SUB,Triangle Choke,1,01:59,
loss,Iuri Alcantara,Jimmie Rivera,41,45,0,3,0,0,0,0,UFC Fight Night: Johnson vs. Bader,Jan. 30  2016,U-DEC,,3,05:00,
win,Iuri Alcantara,Leandro Issa,53,26,0,1,0,0,4,4,UFC 190: Rousey vs Correia,Aug. 01  2015,U-DEC,,3,05:00,
loss,Iuri Alcantara,Frankie Saenz,31,44,2,3,0,0,3,1,UFC Fight Night: Bigfoot vs Mir,Feb. 22  2015,U-DEC,,3,05:00,
win,Iuri Alcantara,Russell Doane,27,14,2,6,0,0,3,1,UFC Fight Night: Silva vs Arlovski,Sep. 13  2014,U-DEC,,3,05:00,
win,Iuri Alcantara,Vaughan Lee,5,4,0,0,0,0,0,0,UFC Fight Night: Munoz vs Mousasi,May. 31  2014,KO/TKO,Punch,1,00:25,
win,Iuri Alcantara,Wilson Reis,42,23,2,3,0,0,4,2,UFC Fight Night: Machida vs Mousasi,Feb. 15  2014,S-DEC,,3,05:00,
loss,Iuri Alcantara,Urijah Faber,8,54,1,4,1,0,2,1,UFC Fight Night: Shogun vs Sonnen,Aug. 17  2013,U-DEC,,3,05:00,
win,Iuri Alcantara,Iliarde Santos,19,3,0,0,0,0,0,0,UFC on FX: Belfort vs. Rockhold,May. 18  2013,KO/TKO,Punch,1,02:31,
nc,Iuri Alcantara,Pedro Nobre,20,3,1,0,1,0,3,0,UFC on FX: Belfort vs Bisping,Jan. 19  2013,CNC,,1,02:11,
loss,Iuri Alcantara,Hacran Dias,19,19,0,5,1,0,1,4,UFC 147: Silva vs Franklin 2,Jun. 23  2012,U-DEC,,3,05:00,
win,Iuri Alcantara,Michihiro Omigawa,60,24,0,1,2,0,5,1,UFC 142: Aldo vs Mendes,Jan. 14  2012,U-DEC,,3,05:00,
win,Iuri Alcantara,Felipe Arantes,22,29,6,0,0,0,11,0,UFC 134: Silva vs Okami,Aug. 27  2011,U-DEC,,3,05:00,
win,Iuri Alcantara,Ricardo Lamas,11,7,0,0,0,0,0,0,WEC 53: Henderson vs. Pettis,Dec. 16  2010,KO/TKO,Punch,1,03:26,
loss,Ildemar Alcantara,Kevin Casey,20,41,0,1,0,0,2,2,UFC Fight Night: Mir vs Duffee,Jul. 15  2015,U-DEC,,3,05:00,
win,Ildemar Alcantara,Richardson Moreira,21,15,0,0,0,0,1,0,UFC 183: Silva vs Diaz,Jan. 31  2015,S-DEC,,3,05:00,
loss,Ildemar Alcantara,Kenny Robertson,22,70,1,3,0,2,0,3,UFC 175: Weidman vs Machida,Jul. 05  2014,U-DEC,,3,05:00,
win,Ildemar Alcantara,Albert Tumenov,50,32,4,1,0,0,6,0,UFC Fight Night: Machida vs Mousasi,Feb. 15  2014,S-DEC,,3,05:00,
loss,Ildemar Alcantara,Igor Araujo,18,21,3,1,3,1,1,6,UFC Fight Night: Maia vs Shields,Oct. 09  2013,U-DEC,,3,05:00,
win,Ildemar Alcantara,Leandro Silva,33,50,3,0,0,0,0,0,UFC on FUEL TV 10,Jun. 08  2013,U-DEC,,3,05:00,
win,Ildemar Alcantara,Wagner Prado,24,28,2,0,3,0,1,1,UFC on FX: Belfort vs Bisping,Jan. 19  2013,SUB,Kneebar,2,02:39,
draw,Alfonso Alcarez,Jens Pulver,34,48,1,0,0,1,0,0,UFC 22: Only One Can be Champion,Sep. 24  1999,M-DEC,,2,05:00,
loss,Gilbert Aldana,Cheick Kongo,6,24,2,1,0,0,2,0,UFC 61: Bitter Rivals,Jul. 08  2006,KO/TKO,,1,04:13,
loss,Gilbert Aldana,Paul Buentello,28,49,0,1,0,1,0,1,UFC 57: Liddell vs Couture 3,Feb. 04  2006,KO/TKO,Punches,2,02:27,
win,Irene Aldana,Lucie Pudilova,119,105,0,0,0,0,0,0,UFC 228: Woodley vs. Till,Sep. 08  2018,S-DEC,,3,05:00,
win,Irene Aldana,Talita Bernardo,70,46,1,1,0,0,6,1,UFC Fight Night: Stephens vs. Choi,Jan. 14  2018,U-DEC,,3,05:00,
loss,Irene Aldana,Katlyn Chookagian,84,105,0,0,0,0,0,0,UFC 210: Cormier vs. Johnson 2,Apr. 08  2017,S-DEC,,3,05:00,
loss,Irene Aldana,Leslie Smith,108,169,1,0,0,0,0,0,UFC Fight Night: VanZant vs. Waterson,Dec. 17  2016,U-DEC,,3,05:00,
loss,Hector Aldana,Laureano Staropoli,69,97,0,0,0,0,0,0,UFC Fight Night: Magny vs. Ponzinibbio,Nov. 17  2018,U-DEC,,3,05:00,
loss,Hector Aldana,Song Kenan,39,32,2,0,0,0,0,0,UFC Fight Night: Cowboy vs. Edwards,Jun. 23  2018,KO/TKO,Punch,2,04:45,
win,Jose Aldo,Renato Moicano,26,24,0,0,0,0,0,0,UFC Fight Night: Assuncao vs. Moraes 2,Feb. 02  2019,KO/TKO,Punches,2,00:44,
win,Jose Aldo,Jeremy Stephens,29,20,0,0,0,0,1,0,UFC Fight Night: Alvarez vs. Poirier 2,Jul. 28  2018,KO/TKO,Punches,1,04:19,
loss,Jose Aldo,Max Holloway,87,174,0,0,0,0,0,1,UFC 218: Holloway vs. Aldo 2,Dec. 02  2017,KO/TKO,Punches,3,04:51,
loss,Jose Aldo,Max Holloway,55,104,0,0,0,0,0,3,UFC 212: Aldo vs. Holloway,Jun. 03  2017,KO/TKO,Punches,3,04:13,
win,Jose Aldo,Frankie Edgar,80,79,0,0,0,0,0,0,UFC 200: Tate vs Nunes,Jul. 09  2016,U-DEC,,5,05:00,
loss,Jose Aldo,Conor McGregor,1,5,0,0,0,0,0,0,UFC 194: Aldo vs McGregor,Dec. 12  2015,KO/TKO,Punch,1,00:13,
win,Jose Aldo,Chad Mendes,102,77,0,1,0,0,2,0,UFC 179: Aldo vs Mendes 2,Oct. 25  2014,U-DEC,,5,05:00,
