Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
win,Sean Strickland,Alex Garcia,84,23,1,3,0,0,2,0,UFC Fight Night: Cowboy vs Cowboy,Feb. 21  2016,KO/TKO,Punches,3,04:25,
win,Sean Strickland,Igor Araujo,71,39,3,0,2,0,1,0,UFC Fight Night: Mir vs Duffee,Jul. 15  2015,U-DEC,,3,05:00,
loss,Sean Strickland,Santiago Ponzinibbio,44,50,2,1,0,0,0,0,UFC Fight Night: Bigfoot vs Mir,Feb. 22  2015,U-DEC,,3,05:00,
win,Sean Strickland,Luke Barnatt,48,44,1,0,0,0,0,0,UFC Fight Night: Munoz vs Mousasi,May. 31  2014,S-DEC,,3,05:00,
win,Sean Strickland,Bubba McDaniel,20,4,1,1,1,0,3,0,UFC 171: Hendricks vs Lawler,Mar. 15  2014,SUB,Rear Naked Choke,1,04:33,
loss,Hans Stringer,Ilir Latifi,2,7,0,0,0,0,0,0,UFC Fight Night: Bisping vs Leites,Jul. 18  2015,KO/TKO,Punch,1,00:56,
loss,Hans Stringer,Fabio Maldonado,33,28,3,0,0,0,1,0,UFC 179: Aldo vs Mendes 2,Oct. 25  2014,KO/TKO,Punches,2,04:06,
win,Hans Stringer,Francimar Barroso,44,36,1,3,0,0,1,0,UFC Fight Night: Shogun vs Henderson,Mar. 23  2014,S-DEC,,3,05:00,
win,Stefan Struve,Marcos Rogerio de Lima,0,25,1,0,1,0,2,5,UFC Fight Night: Blachowicz vs. Santos,Feb. 23  2019,SUB,Arm Triangle,2,02:21,
loss,Stefan Struve,Marcin Tybura,31,41,0,5,0,0,0,3,UFC Fight Night: Shogun vs. Smith,Jul. 22  2018,U-DEC,,3,05:00,
loss,Stefan Struve,Andrei Arlovski,34,46,0,4,0,0,0,2,UFC 222: Cyborg vs. Kunitskaya,Mar. 03  2018,U-DEC,,3,05:00,
loss,Stefan Struve,Alexander Volkov,41,135,0,2,0,0,0,1,UFC Fight Night: Volkov vs. Struve,Sep. 02  2017,KO/TKO,Punch,3,03:30,
win,Stefan Struve,Daniel Omielanczuk,9,14,2,0,1,0,4,0,UFC 204: Bisping vs. Henderson,Oct. 08  2016,SUB,D'Arce Choke,2,01:41,
win,Stefan Struve,Antonio Silva,13,0,0,0,0,0,0,0,UFC Fight Night: Overeem vs Arlovski,May. 08  2016,KO/TKO,Punch,1,00:16,
loss,Stefan Struve,Jared Rosholt,33,16,1,4,0,0,1,7,UFC 193: Rousey vs Holm,Nov. 14  2015,U-DEC,,3,05:00,
win,Stefan Struve,Minotauro Nogueira,93,59,0,1,0,0,0,1,UFC 190: Rousey vs Correia,Aug. 01  2015,U-DEC,,3,05:00,
loss,Stefan Struve,Alistair Overeem,2,17,0,1,0,0,0,0,UFC Fight Night: Dos Santos vs Miocic,Dec. 13  2014,KO/TKO,Punch,1,04:13,
loss,Stefan Struve,Mark Hunt,24,47,0,1,1,0,3,2,UFC on FUEL TV: Japan,Mar. 02  2013,KO/TKO,Punch,3,01:44,
win,Stefan Struve,Stipe Miocic,57,48,0,1,0,0,0,0,UFC on FUEL TV: Struve vs Miocic,Sep. 29  2012,KO/TKO,Punches,2,03:50,
win,Stefan Struve,Lavar Johnson,0,4,0,0,1,0,0,0,UFC 146: Dos Santos vs Mir,May. 26  2012,SUB,Armbar,1,01:05,
win,Stefan Struve,Dave Herman,47,51,1,0,0,0,4,0,UFC on FUEL TV: Sanchez vs Ellenberger,Feb. 15  2012,KO/TKO,Punches,2,03:52,
win,Stefan Struve,Pat Barry,31,30,0,0,1,0,0,0,UFC LIVE 6: Cruz vs Johnson,Oct. 01  2011,SUB,Triangle Choke,2,03:22,
loss,Stefan Struve,Travis Browne,10,17,0,1,2,0,0,1,UFC 130: Rampage vs Hamill,May. 28  2011,KO/TKO,Punch,1,04:11,
win,Stefan Struve,Sean McCorkle,11,4,0,1,0,2,1,2,UFC 124: St-Pierre vs Koscheck 2,Dec. 11  2010,KO/TKO,Punches,1,03:55,
win,Stefan Struve,Christian Morecraft,11,36,0,1,2,1,0,3,UFC 117: Silva vs Sonnen,Aug. 07  2010,KO/TKO,Punch,2,00:22,
loss,Stefan Struve,Roy Nelson,2,9,0,0,0,0,0,0,UFC Fight Night: Florian vs Gomi,Mar. 31  2010,KO/TKO,Punch,1,00:39,
win,Stefan Struve,Paul Buentello,54,37,1,0,2,0,1,0,UFC 107: Penn vs Sanchez,Dec. 12  2009,M-DEC,,3,05:00,
win,Stefan Struve,Chase Gormley,12,8,1,1,3,1,1,0,UFC 104: Machida vs Shogun,Oct. 24  2009,SUB,Triangle Choke,1,04:04,
win,Stefan Struve,Denis Stojnic,4,16,0,0,7,0,1,0,UFC 99: The Comeback,Jun. 13  2009,SUB,Rear Naked Choke,2,02:37,
loss,Stefan Struve,Junior Dos Santos,0,12,0,0,0,0,0,0,UFC 95: Sanchez vs Stevenson,Feb. 21  2009,KO/TKO,Punches,1,00:54,
loss,Josh Stuart,Laverne Clark,0,0,0,0,0,0,0,0,UFC 16: Battle in the Bayou,Mar. 13  1998,KO/TKO,,1,01:15,
loss,Mike Stumpf,Pascal Krauss,63,163,2,1,0,1,2,0,UFC on Fox: Johnson vs Dodson,Jan. 26  2013,U-DEC,,3,05:00,
loss,Mike Stumpf,TJ Waldburger,0,4,0,3,1,2,0,3,UFC Fight Night Live: Shields vs Ellenberger,Sep. 17  2011,SUB,Triangle Choke,1,03:52,
loss,Kyle Sturgeon,Nobuhiko Takada,3,1,1,1,0,1,0,0,PRIDE 3,Jun. 24  1998,SUB,Ankle Lock,1,02:18,
win,Tatiana Suarez,Carla Esparza,82,6,9,0,0,0,14,0,UFC 228: Woodley vs. Till,Sep. 08  2018,KO/TKO,Punches,3,04:33,
win,Tatiana Suarez,Alexa Grasso,2,6,2,0,1,0,4,0,UFC Fight Night: Maia vs. Usman,May. 19  2018,SUB,Rear Naked Choke,1,02:44,
