First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Henry,Miller,"5'7""",270lbs.,--,Southpaw,Jul16 1969,1.25,36,2.16,54,0.55,25,60,0,6,13,0 (1 NC),0,3,0,3,3,1,22.28,5,
Micah,Miller,"6'0""",145lbs.,--,Orthodox,Feb14 1987,1.33,33,2.15,54,0.98,37,21,2,17,4,0 (1 NC),1,2,0,2,2,1,40.97,5,
Aaron,Miller,"5'9""",145lbs.,--,,--,0,0,0,0,0,0,0,0,14,10,0 (1 NC),0,0,0,0,0,0,0,0,
Eddy,Millis,"6'1""",185lbs.,--,,--,0,0,3.36,22,0,0,0,7.2,0,2,0,0,1,0,1,0,1,2.08,1,
Che,Mills,"6'1""",170lbs.,"76""",Orthodox,Sep29 1982,2.08,52,2.87,43,1.18,66,58,0,15,5,0 (2 NC),1,1,1,0,3,0,25.47,4,
Adam,Milstead,"6'3""",205lbs.,"76""",Orthodox,Jul03 1987,3.85,46,4.79,43,0,0,64,0,8,3,0 (1 NC),0,2,0,2,2,0,32.98,4,
Alberto,Mina,"6'0""",170lbs.,"77""",Orthodox,May02 1982,3.23,38,3.7,47,1.85,20,50,0,13,1,0,2,1,0,1,2,0,40.57,4,
Vitaly,Minakov,"6'2""",249lbs.,--,,Feb06 1985,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,
Darrick,Minner,"5'7""",145lbs.,"70""",Orthodox,Apr28 1990,6.85,54,2.01,54,0,0,0,0,22,9,0,0,0,0,0,0,0,0,0,
Mike,Minniger,--,--,--,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ikuhisa,Minowa,"5'9""",181lbs.,--,Orthodox,Jan12 1976,0.88,40,1.66,49,1.82,41,5,1.9,51,32,8,1,2,1,0,11,13,187.42,31,
Stipe,Miocic,"6'4""",240lbs.,"80""",Orthodox,Aug19 1982,4.95,52,3.69,56,2.2,37,73,0,19,3,0,2,1,1,0,11,0,170.35,16,
Frank,Mir,"6'3""",264lbs.,"79""",Southpaw,May24 1979,2.18,47,3.84,38,2.02,40,54,2,18,11,0,1,2,0,2,13,8,155.67,27,
Juan,Miranda,--,155lbs.,--,,--,0,0,0,0,0,0,0,0,7,4,0,0,1,0,1,0,1,6.72,1,
Mario,Miranda,"6'3""",185lbs.,"74""",Orthodox,Jul12 1979,1.96,54,2.46,36,1.02,60,54,0,12,3,0,1,2,0,2,2,0,43.93,4,
Vitor,Miranda,"6'1""",185lbs.,"77""",Orthodox,Mar10 1979,2.98,45,2.95,58,0.95,55,50,0.2,13,7,0,0,3,0,3,3,0,78.77,7,
Damir,Mirenic,"6'0""",185lbs.,--,Orthodox,Aug02 1974,0.84,50,9.86,35,0,0,0,0,8,4,0,0,1,0,1,1,0,4.77,1,
Kazuo,Misaki,"5'8""",183lbs.,--,Orthodox,Apr25 1976,2.85,40,2.74,63,0.72,38,51,0.6,24,11,2 (1 NC),2,1,1,0,2,1,116.82,12,
Toby,Misech,"5'8""",145lbs.,--,Southpaw,Mar07 1988,3.27,40,7.73,46,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,
Dokonjonosuke,Mishima,"5'7""",155lbs.,--,Southpaw,Apr19 1972,1.06,41,1.22,52,2.47,40,25,1.4,20,7,2,1,2,0,2,0,4,44.73,6,
