First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Tom,Aaron,--,155lbs.,--,--,Jul13 1978,0,0,0,0,0,0,0,0,5,3,0,1,1,0,1,0,1,15.93,2,
Danny,Abbadi,"5'11""",155lbs.,--,Orthodox,Jul03 1983,3.29,38,4.41,57,0,0,77,0,4,6,0,0,2,0,2,0,1,17.93,2,
David,Abbott,"6'0""",265lbs.,--,Switch,--,1.35,30,3.55,38,1.07,33,66,0,10,14,0,0,3,0,7,10,8,61.48,21,
Shamil,Abdurakhimov,"6'3""",235lbs.,"76""",Orthodox,Sep02 1981,2.45,44,2.45,58,1.23,24,47,0.2,20,5,0,2,1,0,1,5,0,85.67,8,
Hiroyuki,Abe,"5'6""",145lbs.,--,Orthodox,--,1.71,36,3.11,63,0,0,33,0,8,14,3 (1 NC),0,1,0,1,0,1,12.87,2,
Daichi,Abe,"5'11""",170lbs.,"71""",Orthodox,Nov27 1991,3.8,33,4.49,56,0.33,50,0,0,6,2,0,1,2,0,2,0,0,45,3,
Papy,Abedi,"5'11""",185lbs.,"74""",Southpaw,Jun30 1978,2.8,55,3.15,48,3.47,57,50,1.3,9,3,0,1,2,0,1,1,2,34.62,4,
Ricardo,Abreu,"5'11""",185lbs.,"73""",Orthodox,Apr27 1984,3.79,31,3.98,68,2.13,42,100,0.7,5,3,0,1,1,0,1,0,1,21.1,2,
Klidson,Abreu,"6'0""",205lbs.,"74""",Orthodox,Dec24 1992,1.97,39,1.93,59,0.5,12,75,0,15,3,0,1,1,1,0,0,0,30,3,
Daniel,Acacio,"5'8""",180lbs.,--,Orthodox,Dec27 1977,3.52,36,2.85,62,0.33,20,81,0,26,12,0,1,2,0,2,1,1,29.93,4,
Scott,Adams,"6'0""",225lbs.,--,Southpaw,--,0,0,0,0,0,0,0,0,8,1,0,1,0,1,0,0,1,3.15,1,
Juan,Adams,"6'5""",265lbs.,"80""",Orthodox,Jan16 1992,7.32,55,4,34,0.97,66,57,0,5,2,0,1,2,0,2,2,0,26.72,3,
Anthony,Adams,"6'0""",185lbs.,"77""",Orthodox,Jan13 1988,3.4,47,5.6,44,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,
Israel,Adesanya,"6'4""",185lbs.,"80""",Switch,Jul22 1989,4.44,51,2.49,65,0,0,85,0.5,17,0,0,3,0,6,0,2,0,93.47,7,
Sam,Adkins,"6'3""",225lbs.,--,Orthodox,Apr26 1965,0,0,0,0,0,0,0,0,7,20,2,2,1,0,1,2,1,11.73,4,
Nick,Agallar,"5'8""",155lbs.,--,Orthodox,Jan13 1979,0.69,11,4.56,42,0,0,0,0,24,6,0,0,1,0,1,1,0,7.23,1,
Mariya,Agapova,"5'8""",125lbs.,--,Southpaw,Apr07 1997,2.6,48,4.4,47,0,0,42,0,6,1,0,0,0,0,0,0,0,0,0,
Marcelo,Aguiar,"5'10""",170lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,2,3,1,0,1,0,1,1,0,4.57,1,
Edwin,Aguilar,"5'10""",185lbs.,--,,--,0,0,0,0,0,0,0,0,22,16,0 (1 NC),0,1,0,1,1,0,2.72,1,
Jessica,Aguilar,"5'3""",115lbs.,"63""",Orthodox,May08 1982,4.93,50,7.19,53,0.94,25,50,0.2,20,8,0,1,2,0,2,0,1,63.68,5,
Kevin,Aguilar,"5'7""",145lbs.,"73""",Orthodox,Sep07 1988,3.78,36,4.22,54,0.25,50,86,0,17,2,0,2,1,0,1,0,0,45,3,
Mike,Aina,"5'9""",155lbs.,--,Orthodox,--,2.87,33,6.33,59,0,0,71,0,12,6,1 (1 NC),0,1,0,1,0,0,23.7,2,
Hitomi,Akano,"5'4""",135lbs.,--,Southpaw,Jul27 1974,0.59,45,2.58,55,0,0,8,0.5,18,8,0,1,2,0,1,1,1,45.38,4,
Omari,Akhmedov,"6'0""",185lbs.,"73""",Orthodox,Oct12 1987,2.91,34,2.69,59,2.45,50,58,0.2,19,4,1,2,0,4,0,4,1,128.47,11,
Yoshihiro,Akiyama,"5'10""",170lbs.,"73""",Orthodox,Jul29 1975,3.1,41,3.62,57,2.29,67,92,1,14,6,0 (2 NC),1,2,0,1,7,8,150.38,22,
Rostem,Akman,"5'10""",170lbs.,"72""",Switch,Dec19 1991,2.6,39,4,59,2,40,83,0,6,1,0,0,1,0,1,0,0,15,2,
Razak,Al-Hassan,"6'2""",205lbs.,--,Orthodox,May14 1982,3.27,39,3.14,60,0.65,14,57,0,11,5,0,0,2,0,2,0,1,19.07,2,
Mostapha,Al-Turk,"6'2""",245lbs.,"77""",Orthodox,Jul14 1973,1.36,19,3.61,53,0,0,0,0,6,6,0,0,3,0,3,2,0,22.72,3,
Herdem,Alacabek,"6'2""",205lbs.,"75""",Orthodox,Jun07 1991,3.84,65,6.66,23,2.06,50,42,0,5,1,0,0,0,0,0,0,0,0,0,
Javi,Alanis,"5'6""",135lbs.,--,,--,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,6.68,1,
Heili,Alateng,"5'5""",135lbs.,"66""",Orthodox,Dec14 1991,2.4,40,5.67,63,3,42,100,0,13,7,1,1,0,1,0,0,0,15,1,
Brett,Albee,--,225lbs.,--,,--,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,1.77,1,
John,Albert,"5'8""",135lbs.,"68""",,Oct13 1986,3.05,49,2.82,35,0,0,50,6.1,7,5,0,0,3,0,4,1,4,22,5,
Junior,Albini,"6'3""",264lbs.,"74""",Orthodox,Mar15 1991,3.98,51,6.08,52,1.54,37,100,0,14,6,0,0,3,0,4,3,1,29.13,5,
Wes,Albritton,"5'10""",188lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.52,1,
Alexandra,Albu,"5'2""",115lbs.,"63""",Orthodox,Jul14 1990,5.13,50,4.92,41,3.05,55,75,0.6,7,1,0,2,1,0,1,0,2,24.58,4,
Israel,Albuquerque,--,185lbs.,--,Orthodox,--,0.32,13,3.34,25,0,0,0,0,0,3,0,0,1,0,1,1,0,6.28,1,
Juan,Alcain,--,--,--,,--,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,13,1,
Iuri,Alcantara,"5'9""",135lbs.,"71""",Southpaw,Aug04 1980,2.72,45,2.79,49,1.44,62,60,0.8,35,10,0 (1 NC),1,2,0,1,5,3,177.67,19,
Ildemar,Alcantara,"6'2""",185lbs.,"78""",Orthodox,Nov18 1982,1.93,38,2.63,50,2,68,81,0.9,21,8,0,1,2,0,1,0,1,97.65,7,
Alfonso,Alcarez,"5'3""",145lbs.,--,,Jun10 1970,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,10,1,
Gilbert,Aldana,"6'1""",250lbs.,--,Orthodox,Aug25 1977,2.91,54,6.26,26,2.57,40,33,0,6,2,0,0,2,0,2,2,0,11.67,2,
Irene,Aldana,"5'9""",135lbs.,"68""",Orthodox,Mar26 1988,6.2,39,6.01,62,0.29,50,93,0.1,11,5,0,2,1,1,0,0,1,103.4,7,
Hector,Aldana,"5'11""",170lbs.,"72""",Orthodox,Aug17 1988,4.36,41,5.21,62,1.21,100,0,0,4,3,0,0,2,0,2,1,0,24.75,3,
Jose,Aldo,"5'7""",145lbs.,"70""",Orthodox,Sep09 1986,3.45,44,3.14,65,0.67,65,92,0.2,28,5,0,2,1,0,1,14,0,289.33,22,
JJ,Aldrich,"5'5""",125lbs.,"67""",Southpaw,Sep29 1992,3.65,38,4.22,61,0.22,16,58,0,7,3,0,2,1,0,1,1,0,68.02,6,
Jim,Alers,"5'9""",145lbs.,"71""",Orthodox,Oct14 1986,2.9,40,4.38,56,2.26,41,80,0.3,13,3,0 (1 NC),0,2,0,2,1,0,46.55,4,
John,Alessio,"5'10""",155lbs.,"72""",Orthodox,Jul05 1979,1.87,35,2.46,57,1.78,36,72,1,34,16,0 (1 NC),0,3,0,4,0,6,134.08,13,
Houston,Alexander,"6'0""",205lbs.,"72""",Orthodox,Mar22 1972,3.06,54,3.2,52,1.19,57,33,0,13,8,1 (2 NC),0,3,0,4,4,1,25.25,6,
Kenneth,Alexander,"5'9""",155lbs.,--,Orthodox,Sep25 1977,0.88,19,2.2,66,4.71,26,0,0,5,5,0 (1 NC),0,1,0,1,0,0,15.93,2,
Marcio,Alexandre Junior,"6'0""",185lbs.,"75""",Southpaw,May05 1989,1.61,45,2.89,42,0.35,20,66,0.7,17,4,0,0,3,0,3,0,1,40.42,3,
Olaf,Alfonso,"6'2""",170lbs.,--,Orthodox,Aug06 1974,0.74,26,5.33,37,0,0,22,0.6,8,11,0,0,3,0,4,3,0,40.68,4,
Pablo,Alfonso,"5'8""",145lbs.,--,,May09 1983,0,0,0,0,0,0,0,0,6,5,0,1,0,1,0,0,1,1.78,1,
Levi,Alford,--,--,--,,--,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,
Bill,Algeo,"6'0""",145lbs.,"73""",Switch,Jun09 1989,9.8,53,7.47,36,0,0,62,0,12,3,0,0,0,0,0,0,0,0,0,
Royce,Alger,"5'10""",199lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,3,2,0,0,2,0,2,1,1,7.92,2,
Amir,Aliakbari,"6'3""",250lbs.,--,,Jun10 1984,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,
Sultan,Aliev,"5'11""",170lbs.,"74""",Orthodox,Sep17 1984,1.41,45,2.2,56,1.76,38,100,0,15,3,0,2,1,1,0,2,0,42.7,4,
John,Allan,"6'3""",205lbs.,"75""",Orthodox,Feb22 1993,3.59,48,4.39,51,2.54,66,57,1.9,14,5,0,1,0,1,0,0,0,15,1,
George,Allen,"6'2""",205lbs.,--,OpenStance,Jan13 1967,0.8,38,3.1,43,0,0,50,0,13,19,2,0,1,0,1,0,0,10,1,
Arnold,Allen,"5'8""",145lbs.,"70""",Southpaw,Jan22 1994,3.01,39,1.78,66,1.6,56,70,0.5,15,1,0,3,0,6,0,0,2,84.37,6,
Brendan,Allen,"6'2""",185lbs.,"75""",Orthodox,Dec28 1995,4.14,60,6.21,16,4.43,25,100,4.4,11,3,0,0,0,0,0,0,0,0,1,
Benny,Alloway,"5'11""",170lbs.,"75""",Orthodox,Feb19 1981,1.28,49,1.9,59,0.62,50,26,0,13,6,0,1,2,0,2,1,1,24.27,3,
Ricardo,Almeida,"6'0""",170lbs.,"74""",Orthodox,Nov29 1976,2.02,49,1.2,61,3.74,38,31,1.2,13,5,0,1,2,0,1,1,4,129.35,13,
Magno,Almeida,"6'0""",155lbs.,--,,Jun06 1985,1.67,36,2.6,41,0,0,40,5,9,3,0 (1 NC),0,2,0,2,1,0,18.35,2,
Thomas,Almeida,"5'7""",135lbs.,"70""",Southpaw,Jul31 1991,5.66,45,4.65,64,0,0,75,0,22,3,0,1,2,0,2,6,0,61.08,8,
Ericka,Almeida,"5'6""",115lbs.,"68""",,Mar05 1989,1.07,39,3.33,43,0.5,33,37,0,7,2,0,0,2,0,2,0,0,30,2,
Estefani,Almeida,"5'4""",125lbs.,--,Orthodox,Oct17 1988,3.13,37,6.07,42,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,
Mauricio,Alonso,"6'2""",170lbs.,--,,Feb27 1980,5.74,34,1.91,67,0,0,0,0,13,7,0 (1 NC),0,0,0,0,0,0,0,0,
Sarah,Alpar,"5'4""",135lbs.,--,Southpaw,Jun01 1991,4.42,61,3.79,40,3.79,66,100,1.9,8,4,0,0,0,0,0,0,0,0,0,
Rico,Altamirano,"5'10""",170lbs.,--,,--,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,15,1,
Mike,Altman,"5'10""",185lbs.,--,Orthodox,--,1.56,20,2.08,75,0,0,0,0,1,4,0,0,1,0,1,1,0,3.85,1,
Sean,Alvarez,"6'0""",235lbs.,--,Orthodox,Jul14 1971,0.89,37,3.25,47,0,0,0,0,4,3,0,0,1,0,1,1,0,6.77,1,
Eddie,Alvarez,"5'9""",155lbs.,"69""",Orthodox,Jan11 1984,4.32,41,4.39,55,2.92,36,92,0.5,29,6,0 (1 NC),1,1,0,1,6,2,123.58,13,
Jaime,Alvarez,"5'8""",125lbs.,"69""",Orthodox,Mar08 1988,2.73,40,4.53,56,1,33,50,0,6,1,0,0,0,0,0,0,0,0,0,
Joel,Alvarez,"6'3""",155lbs.,"77""",Orthodox,Mar02 1994,2.55,33,3.44,54,0,0,0,0,16,2,0,1,1,1,0,1,0,22.37,2,
Thiago,Alves,"5'9""",170lbs.,"70""",Orthodox,Oct03 1983,3.72,41,3.37,62,0.71,60,62,0.3,28,14,0,1,2,0,1,11,3,293.98,26,
Anthony,Alves,--,--,--,,--,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,1,0,2.02,1,
Amilcar,Alves,"6'0""",170lbs.,--,Southpaw,Aug08 1988,0.5,46,2.02,30,0,0,53,0,11,4,0,0,2,0,2,0,1,28.18,2,
Warlley,Alves,"5'11""",170lbs.,"72""",Orthodox,Jan04 1991,3.16,46,3.75,51,1.06,44,80,0.8,14,3,0,2,1,1,0,3,3,112.72,10,
Sam,Alvey,"6'2""",205lbs.,"75""",Southpaw,May06 1986,3.05,44,3.2,55,0.09,16,82,0.1,33,13,0 (1 NC),0,3,0,3,8,1,169.82,18,
Andre,Amado,"6'0""",154lbs.,--,Orthodox,--,2.27,24,5.91,63,0,0,20,0,6,4,1,0,3,0,3,2,0,20.57,3,
Adlan,Amagov,"6'2""",170lbs.,"76""",Orthodox,Oct30 1986,3.29,47,0.82,78,5.84,56,100,0,13,2,1,3,0,3,0,4,0,38.13,6,
Maiara,Amanajas dos Santos,"5'5""",115lbs.,--,Southpaw,Jul11 1987,5.53,35,24.47,33,0,0,100,0,7,3,0,0,0,0,0,0,0,0,0,
Chris,Amarante,--,185lbs.,--,,--,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,4.62,1,
Jimmy,Ambriz,"6'2""",315lbs.,--,Southpaw,Jan26 1970,0.83,29,3.76,40,3.13,57,100,0.8,15,18,1,0,3,0,3,2,1,14.17,3,
JJ,Ambrose,"5'10""",170lbs.,--,Orthodox,--,3.16,69,6.32,33,0,0,50,0,17,3,0 (1 NC),0,1,0,1,0,1,2.85,1,
Alen,Amedovski,"5'10""",185lbs.,"74""",Orthodox,Apr06 1988,0.52,28,3.14,37,0,0,0,0,8,2,0,0,2,0,2,1,0,15.28,2,
Makwan,Amirkhani,"5'10""",145lbs.,"72""",Southpaw,Nov08 1988,1.62,47,1.62,61,3.47,48,57,1.6,15,3,0,2,1,2,0,1,2,56.23,7,
Bertrand,Amoussou,"5'8""",190lbs.,--,Orthodox,--,6.75,39,2.01,83,0,0,0,0,1,1,0,1,0,1,0,1,0,5.48,1,
Karl,Amoussou,"5'11""",185lbs.,--,Orthodox,Nov21 1985,1.47,34,2.67,54,0,0,25,1,12,4,2,0,1,0,1,0,0,14.23,2,
Eryk,Anders,"6'1""",205lbs.,"75""",Southpaw,Apr21 1987,2.89,48,4.06,49,1.73,40,75,0.1,12,4,0,1,2,1,0,4,0,103.9,9,
Matt,Andersen,"6'2""",230lbs.,--,Southpaw,May29 1971,0,0,0,0,0,0,0,0,14,8,1,0,1,0,1,1,0,5.53,1,
Andy,Anderson,"5'6""",240lbs.,--,,Jul16 1974,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1.38,1,
Lowell,Anderson,"5'6""",160lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,10.22,1,
Corey,Anderson,"6'3""",205lbs.,"79""",Orthodox,Sep22 1989,4.37,46,2.2,59,4.96,50,83,0,13,4,0,3,0,3,0,5,0,157.42,14,
Derek,Anderson,"6'0""",155lbs.,--,,Feb02 1990,3.97,37,3.08,61,0.34,14,60,0,14,3,0 (1 NC),0,0,0,0,0,0,0,0,
Megan,Anderson,"6'0""",145lbs.,"72""",Orthodox,Feb11 1990,1.65,43,3.71,33,0,0,50,0,9,4,0,1,2,0,1,1,1,19.42,4,
Alex,Andrade,"5'11""",200lbs.,--,Orthodox,May14 1974,0.2,36,2.6,53,0,0,25,0.8,10,5,0,0,2,0,2,0,0,20.72,2,
Jessica,Andrade,"5'1""",115lbs.,"62""",Orthodox,Sep25 1991,6.55,51,5.28,51,3.21,58,76,0.5,20,7,0,2,1,0,1,5,4,163.57,16,
Viscardi,Andrade,"5'11""",170lbs.,"75""",Orthodox,Mar08 1984,3.26,42,2.77,63,1.93,50,66,0.3,19,7,0,2,1,2,0,1,0,46.6,4,
Jermaine,Andre,"5'7""",200lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,14,4,0,2,1,2,0,3,0,17.12,3,
Dylan,Andrews,"6'1""",185lbs.,"73""",Switch,Nov15 1979,2.21,50,2.72,46,2.83,50,57,0.4,18,8,0 (1 NC),0,3,0,3,4,1,37.07,5,
Reese,Andy,"6'0""",205lbs.,--,Orthodox,Mar31 1973,2.87,50,3.5,58,0.67,20,40,0,7,3,0,0,2,0,2,1,0,22.32,2,
Julius,Anglickas,"6'3""",205lbs.,--,Orthodox,Jul23 1991,4.62,78,1.86,50,4.47,50,60,1.1,6,1,0,0,0,0,0,0,0,0,0,
Yoji,Anjo,"5'11""",205lbs.,--,Orthodox,Mar28 1967,0,0,3.13,25,0,0,0,0,0,5,1,0,3,0,4,1,2,25.03,4,
Magomed,Ankalaev,"6'3""",205lbs.,"75""",Orthodox,Jun02 1992,3.05,53,1.33,67,0.45,33,83,0,11,1,0,2,1,2,0,1,1,33.13,4,
Nina,Ansaroff,"5'5""",115lbs.,"64""",Orthodox,Dec03 1985,4.81,47,3.55,54,0.29,40,77,0.6,10,6,0,2,1,0,1,0,1,103.65,7,
Gadzhimurad,Antigulov,"5'11""",205lbs.,"70""",Orthodox,Feb09 1987,2.32,51,5.92,21,8.7,41,0,3.5,20,6,0,1,2,0,2,2,2,8.62,5,
Adam,Antolin,"5'5""",125lbs.,"63""",Orthodox,Feb28 1982,5.73,52,5,69,0,0,100,0,12,3,0,2,1,0,1,1,2,10,3,
Angelo,Antonio,--,205lbs.,--,Orthodox,--,1.09,50,7.64,50,0,0,0,0,1,3,0,0,1,0,1,1,0,0.92,1,
Zu,Anyanwu,"6'1""",251lbs.,"77""",Orthodox,Aug05 1981,2.47,42,2.47,69,0.65,100,0,0,14,5,0,0,1,0,1,0,0,15,1,
Shinsho,Anzai,"5'7""",170lbs.,"70""",Orthodox,Dec01 1985,3.23,58,3.75,45,1.83,16,75,0,10,3,0,2,1,0,1,2,1,32.8,4,
Shinya,Aoki,"5'11""",154lbs.,--,Southpaw,May09 1983,0.97,58,1.25,58,2.54,41,60,4,30,5,0 (1 NC),3,0,8,0,5,16,194.9,31,
Josh,Appelt,"5'10""",255lbs.,"73""",Southpaw,Jun19 1983,1.35,40,11.5,32,0,0,33,0,15,6,0,0,0,0,0,0,0,0,0,
Erik,Apple,"6'0""",170lbs.,--,Orthodox,Aug26 1977,0,0,0.54,81,0,0,0,8.1,10,3,0,0,3,0,3,1,2,18.33,3,
Kenji,Arai,"5'10""",145lbs.,--,Southpaw,Oct05 1979,8.79,27,10.29,39,0,0,0,0,15,15,5,0,1,0,1,1,0,3.98,1,
Romie,Aram,"5'10""",170lbs.,--,Orthodox,Dec02 1977,1.8,35,2.83,50,2.5,62,83,0,7,1,0,1,1,0,1,0,0,30,2,
Felipe,Arantes,"5'8""",135lbs.,"73""",Orthodox,Feb09 1988,2.37,45,2.66,64,0.93,47,41,0.7,18,10,1 (2 NC),0,3,0,3,2,2,144.52,12,
Igor,Araujo,"6'1""",170lbs.,"77""",Orthodox,Dec06 1980,1.52,42,2.86,49,0.86,15,22,0.6,25,8,0 (1 NC),1,2,0,2,1,0,52.52,4,
Viviane,Araujo,"5'4""",125lbs.,"68""",Orthodox,Nov21 1986,4.96,48,4.42,58,2.91,100,100,0,8,1,0,2,0,2,0,1,0,25.8,3,
Julio,Arce,"5'7""",145lbs.,"70""",Southpaw,Oct27 1989,4.76,38,2.68,69,0.48,28,93,0.7,16,3,0,2,1,1,0,1,1,54.73,5,
Art,Arciniega,"5'8""",145lbs.,--,,Oct15 1981,1.53,46,2.73,51,0,0,50,1,15,7,0,0,0,0,0,0,0,0,0,
Tristan,Arenal,--,155lbs.,--,,--,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,1,1.97,1,
Andrei,Arlovski,"6'3""",240lbs.,"77""",Orthodox,Feb04 1979,3.54,44,2.68,59,0.53,36,79,0.3,28,18,0 (2 NC),1,1,1,0,20,3,314.08,37,
Joey,Armstrong,--,--,--,,--,0,0,0,0,0,0,0,0,5,2,0,1,0,1,0,1,0,2.93,1,
Austin,Arnett,"6'0""",145lbs.,"72""",Orthodox,Oct22 1991,4.52,41,6.38,62,0.44,18,57,0.2,16,6,0,1,2,0,1,1,0,53.8,4,
Ricardo,Arona,"5'11""",205lbs.,--,Orthodox,Jul17 1978,1.66,48,1.15,57,2.41,48,58,1.2,14,5,0,1,2,0,1,5,1,120.5,12,
Chalid,Arrab,"5'11""",205lbs.,--,Orthodox,May28 1975,1.56,34,1.63,56,3.05,75,37,1,7,3,0,1,1,0,1,0,1,14.75,2,
Akbarh,Arreola,"5'10""",155lbs.,"71""",Southpaw,Jan14 1983,2.32,45,4.01,56,1.07,100,33,0.4,23,10,1,1,2,0,2,1,1,41.87,4,
Matt,Arroyo,"5'10""",170lbs.,"72""",Orthodox,Sep01 1982,1.62,47,2.01,58,2.12,36,100,5.3,3,3,0,1,2,0,2,1,1,28.37,3,
Antonio,Arroyo,"6'3""",185lbs.,"73""",Orthodox,Jul01 1989,3.87,72,2.13,41,2.55,36,0,0.6,8,2,0,0,0,0,0,0,0,0,1,
Gilles,Arsene,"5'9""",190lbs.,--,Southpaw,--,0.06,10,2.45,32,0,0,0,0,1,1,0,0,1,0,1,0,1,12.13,1,
Veta,Arteaga,"5'7""",125lbs.,--,,--,3.2,36,1.92,65,0,0,40,0,3,1,0,0,0,0,0,0,0,0,0,
Cesar,Arzamendia,"5'11""",155lbs.,"71""",,Jan31 1991,5.37,45,5.2,56,7.32,75,0,2.4,7,4,0,0,2,0,2,2,0,6.15,2,
Teddy,Ash,"6'1""",185lbs.,"73""",Switch,Dec27 1989,7.27,61,6.8,28,0,0,100,0,14,4,0,0,0,0,0,0,0,0,0,
Askar,Askarov,"5'6""",125lbs.,"67""",Orthodox,Oct09 1992,2,47,2.27,58,4,36,0,0,10,0,1,0,0,0,0,0,0,15,1,
Cyril,Asker,"6'0""",247lbs.,"74""",Orthodox,Dec24 1985,3.35,39,5.82,35,4.41,62,100,0.9,9,4,0,1,2,0,1,4,1,17,5,
Scott,Askham,"6'3""",185lbs.,"75""",Southpaw,May20 1988,3.03,46,3.52,52,0.44,18,65,0.7,14,4,0,1,2,0,2,2,0,67.62,6,
Ben,Askren,"5'11""",170lbs.,"73""",Orthodox,Jul18 1984,0,0,8.49,9,4.39,50,0,4.4,19,1,0 (1 NC),1,1,0,1,1,1,3.42,3,
Bruno,Assis,"6'2""",185lbs.,--,Orthodox,May23 1992,1.27,43,3.2,36,2,50,66,1,8,3,0,0,0,0,0,0,0,0,0,
Junior,Assuncao,"5'9""",145lbs.,"72""",Orthodox,Jun24 1981,3.31,62,2.06,44,2.43,24,66,0.7,13,4,0,1,2,0,1,0,3,43.15,5,
Raphael,Assuncao,"5'5""",135lbs.,"66""",Orthodox,Jul19 1982,3.32,41,2.35,68,1.54,38,80,0.3,27,7,0,1,2,0,2,3,3,253.73,20,
Bazigit,Atajev,"6'1""",230lbs.,--,Orthodox,--,0.87,41,3.14,49,1,33,0,0,17,1,0,0,1,0,1,1,0,9.98,1,
Rich,Attonito,"5'10""",170lbs.,"72""",Orthodox,Jun16 1977,2.28,47,2.13,59,0.74,37,75,0,10,5,0,1,2,0,1,2,0,60.58,5,
Olivier,Aubin-Mercier,"5'9""",155lbs.,"70""",Southpaw,Feb23 1989,2.48,51,2.97,55,2.36,33,70,0.5,12,5,0,0,3,0,3,1,4,146.25,12,
Pat,Audinwood,"6'0""",155lbs.,--,Orthodox,Apr16 1986,1.17,12,4.31,41,0.8,50,0,0,9,2,1,0,2,0,2,0,1,18.78,2,
Marcus,Aurelio,"5'10""",155lbs.,"74""",Orthodox,Aug18 1973,1.42,33,2.27,59,1.69,27,27,1.3,21,10,0,0,3,0,4,1,2,129.32,13,
David,Avellan,"5'9""",185lbs.,--,Orthodox,--,3.33,25,10,57,0,0,0,0,2,1,0,0,1,0,1,1,0,0.3,1,
Blas,Avena,"6'0""",170lbs.,"74""",Orthodox,Jun30 1983,2.34,47,3.36,43,2.37,80,50,1.8,7,6,0 (1 NC),1,2,0,1,4,2,25.27,6,
Levi,Avera,"6'1""",170lbs.,--,,May17 1982,0,0,0,0,0,0,0,0,16,10,0,0,1,0,1,0,0,15,1,
Anthony,Avila,"5'7""",145lbs.,--,,Dec29 1988,0,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,15,1,
Chris,Avila,"5'10""",145lbs.,"72""",Orthodox,Jan16 1993,2.37,30,4.17,48,0,0,46,0,5,4,0,0,2,0,2,0,0,30,2,
Julia,Avila,"5'7""",135lbs.,"68""",Orthodox,May11 1988,3.27,40,2.2,60,0,0,50,0,7,1,0,1,0,1,0,0,0,15,2,
Saad,Awad,"5'11""",155lbs.,--,,Jun07 1983,2.13,26,1.87,60,0.5,16,100,0.5,9,5,0,0,1,0,1,0,1,7.75,1,
Javy,Ayala,"6'1""",265lbs.,--,,Aug20 1988,0.83,25,5,33,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,
Jessin,Ayari,"6'0""",155lbs.,"73""",Orthodox,May31 1992,3.58,38,3.4,59,0,0,33,0.3,16,5,0,1,2,0,2,0,0,45,3,
Abu,Azaitar,"5'9""",185lbs.,"76""",Orthodox,Mar10 1986,3.2,37,1.27,57,1,100,25,0,14,1,1 (1 NC),1,0,1,0,0,0,15,1,
Ottman,Azaitar,"5'8""",155lbs.,"71""",Switch,Feb20 1990,7.61,50,2.25,57,0,0,100,0,12,0,0,1,0,1,0,1,0,3.55,1,
Luiz,Azeredo,"5'9""",154lbs.,--,Orthodox,Jun10 1976,2.16,39,2.76,57,1.07,50,45,0.3,15,10,0,1,2,0,2,3,0,47.1,7,
Luciano,Azevedo,"6'3""",161lbs.,--,Orthodox,Jun25 1981,0.76,45,1.97,27,2.28,11,0,0,16,9,1,0,1,0,1,1,0,6.58,1,
Hunter,Azure,"5'8""",135lbs.,"69""",Orthodox,Mar02 1992,4,50,1.57,56,2,33,75,2.5,8,0,0,1,0,1,0,0,0,15,1,
Niklas,Backstrom,"6'1""",145lbs.,"74""",Orthodox,Aug22 1989,1.12,41,3.65,40,2.92,80,72,2.2,8,2,0 (1 NC),1,2,0,2,1,1,20.57,3,
Seth,Baczynski,"6'3""",170lbs.,"74""",Orthodox,Oct26 1981,3.08,31,3.14,51,0.89,16,48,0.8,18,11,0,0,3,0,3,4,2,100.57,11,
Ryan,Bader,"6'2""",205lbs.,"74""",Orthodox,Jun07 1983,2.82,43,1.39,71,3.37,44,80,0.4,23,5,0,2,1,2,0,8,3,204.68,20,
Izabela,Badurek,"5'5""",115lbs.,--,Orthodox,Jul11 1991,3.74,71,4.9,32,1.75,12,100,0,5,3,0,0,1,0,1,0,1,8.57,1,
Miguel,Baeza,"6'2""",170lbs.,"74""",Orthodox,Aug23 1992,4.07,59,5.93,33,0,0,100,2,6,0,0,0,0,0,0,0,0,0,1,
